total_episodes,episodes_with_ads,percentage_episodes_with_ads,total_sponsor_ads,total_ad_time,average_sponsor_length,average_ad_percentage_per_episode,avg_episode_ad_count,sponsor_time_map,sponsor_frequency_map,average_brand_repeat_rate,sorted_brands_by_frequency,sorted_brands_by_ad_time,clientId
5,5,100.0,27,1836.0,68.0,8.141224549642773,5.4,"{'badfriendsmerch.com': 11.0, 'bluechu.com': 84.0, 'shopify.com/badfriends': 212.0, 'rocketmoney.com/badfriends': 65.0, 'gemini.com/badfriends': 120.0, 'kachava.com': 152.0, 'autoblow.com': 123.0, 'hellofresh.com': 78.0, 'cash.app': 93.0, 'manscaped.com': 77.0, 'square.com/go/badfriends': 63.0, 'zocdoc.com/badfriends': 64.0, 'factormeals.com/badfriends50off': 72.0, 'talkspace.com': 94.0, 'simplisafe.com': 86.0, 'shipstation.com': 77.0, 'quince.com': 67.0, 'openphone.com/badfriends': 82.0, 'zocdoc.com/BADFRIENDS': 20.0, 'zocdoc.com': 34.0, 'betterbiom.com': 87.0, 'rocketmoney.com': 75.0}","{'badfriendsmerch.com': 2, 'bluechu.com': 1, 'shopify.com/badfriends': 3, 'rocketmoney.com/badfriends': 1, 'gemini.com/badfriends': 2, 'kachava.com': 2, 'autoblow.com': 1, 'hellofresh.com': 1, 'cash.app': 1, 'manscaped.com': 1, 'square.com/go/badfriends': 1, 'zocdoc.com/badfriends': 1, 'factormeals.com/badfriends50off': 1, 'talkspace.com': 1, 'simplisafe.com': 1, 'shipstation.com': 1, 'quince.com': 1, 'openphone.com/badfriends': 1, 'zocdoc.com/BADFRIENDS': 1, 'zocdoc.com': 1, 'betterbiom.com': 1, 'rocketmoney.com': 1}",1.2272727272727273,"['shopify.com/badfriends', 'badfriendsmerch.com', 'gemini.com/badfriends', 'kachava.com', 'bluechu.com', 'rocketmoney.com/badfriends', 'autoblow.com', 'hellofresh.com', 'cash.app', 'manscaped.com', 'square.com/go/badfriends', 'zocdoc.com/badfriends', 'factormeals.com/badfriends50off', 'talkspace.com', 'simplisafe.com', 'shipstation.com', 'quince.com', 'openphone.com/badfriends', 'zocdoc.com/BADFRIENDS', 'zocdoc.com', 'betterbiom.com', 'rocketmoney.com']","['shopify.com/badfriends', 'kachava.com', 'autoblow.com', 'gemini.com/badfriends', 'talkspace.com', 'cash.app', 'betterbiom.com', 'simplisafe.com', 'bluechu.com', 'openphone.com/badfriends', 'hellofresh.com', 'manscaped.com', 'shipstation.com', 'rocketmoney.com', 'factormeals.com/badfriends50off', 'quince.com', 'rocketmoney.com/badfriends', 'zocdoc.com/badfriends', 'square.com/go/badfriends', 'zocdoc.com', 'zocdoc.com/BADFRIENDS', 'badfriendsmerch.com']",badfriends
5,4,80.0,7,307.0,43.857142857142854,2.232542763887816,1.4,"{'microdose.com': 205.0, 'greenchef.com': 92.0, 'pfizer.com': 10.0}","{'microdose.com': 4, 'greenchef.com': 2, 'pfizer.com': 1}",2.3333333333333335,"['microdose.com', 'greenchef.com', 'pfizer.com']","['microdose.com', 'greenchef.com', 'pfizer.com']",badtv
0,0,0.0,0,0.0,0.0,0.0,0.0,{},{},0.0,[],[],beargrease
5,1,20.0,1,47.0,47.0,0.20600482138943677,0.2,{'fieldworkbrewing.com': 47.0},{'fieldworkbrewing.com': 1},1.0,['fieldworkbrewing.com'],['fieldworkbrewing.com'],beermethatmovie
0,0,0.0,0,0.0,0.0,0.0,0.0,{},{},0.0,[],[],behindthevelvetrope
5,2,40.0,2,54.0,27.0,0.7062778052397429,0.4,"{'jodiemore.com': 36.0, 'jodymoore.com': 18.0}","{'jodiemore.com': 1, 'jodymoore.com': 1}",1.0,"['jodiemore.com', 'jodymoore.com']","['jodiemore.com', 'jodymoore.com']",betterthanhappy
5,5,100.0,34,2202.0,64.76470588235294,10.046436633655995,6.8,"{'bewellbykelly.com': 187.0, 'drinkag1.com/bewell': 144.0, 'shopminnow.com': 161.0, 'oneskin.co': 143.0, 'elementasilver.com': 57.0, 'fatty15.com/KELLY15': 119.0, 'wenatal.com/pages/kelly': 88.0, 'seed.com/partner/bewell': 18.0, 'justthrivehealth.com/pages/kellyleveque': 312.0, 'nowfoods.com/healthy-living/now-wellness-experts/kelly-leveque': 53.0, 'drinkAG1.com/bewell': 102.0, 'drinklmnt.com': 145.0, 'https://thor.ne/xnHXQ': 11.0, 'https://wenatal.com/pages/kelly?sscid=21k9_px3cc&': 67.0, 'https://www.nowfoods.com/healthy-living/now-wellness-experts/kelly-leveque': 51.0, 'https://forceofnature.com/': 12.0, 'fatty15.com': 105.0, 'drinkAG1.com': 2.0, 'thor.ne': 5.0, 'vuori.com/kelly': 69.0, 'jesseandbens.com/bewell': 83.0, 'wenatal.com': 80.0, 'candthemoon.com': 10.0, 'hiyahealth.com': 88.0, 'kosterina.com': 90.0}","{'bewellbykelly.com': 4, 'drinkag1.com/bewell': 2, 'shopminnow.com': 2, 'oneskin.co': 2, 'elementasilver.com': 1, 'fatty15.com/KELLY15': 2, 'wenatal.com/pages/kelly': 1, 'seed.com/partner/bewell': 1, 'justthrivehealth.com/pages/kellyleveque': 1, 'nowfoods.com/healthy-living/now-wellness-experts/kelly-leveque': 1, 'drinkAG1.com/bewell': 2, 'drinklmnt.com': 2, 'https://thor.ne/xnHXQ': 1, 'https://wenatal.com/pages/kelly?sscid=21k9_px3cc&': 1, 'https://www.nowfoods.com/healthy-living/now-wellness-experts/kelly-leveque': 1, 'https://forceofnature.com/': 1, 'fatty15.com': 1, 'drinkAG1.com': 1, 'thor.ne': 1, 'vuori.com/kelly': 1, 'jesseandbens.com/bewell': 1, 'wenatal.com': 1, 'candthemoon.com': 1, 'hiyahealth.com': 1, 'kosterina.com': 1}",1.36,"['bewellbykelly.com', 'drinkag1.com/bewell', 'shopminnow.com', 'oneskin.co', 'fatty15.com/KELLY15', 'drinkAG1.com/bewell', 'drinklmnt.com', 'elementasilver.com', 'wenatal.com/pages/kelly', 'seed.com/partner/bewell', 'justthrivehealth.com/pages/kellyleveque', 'nowfoods.com/healthy-living/now-wellness-experts/kelly-leveque', 'https://thor.ne/xnHXQ', 'https://wenatal.com/pages/kelly?sscid=21k9_px3cc&', 'https://www.nowfoods.com/healthy-living/now-wellness-experts/kelly-leveque', 'https://forceofnature.com/', 'fatty15.com', 'drinkAG1.com', 'thor.ne', 'vuori.com/kelly', 'jesseandbens.com/bewell', 'wenatal.com', 'candthemoon.com', 'hiyahealth.com', 'kosterina.com']","['justthrivehealth.com/pages/kellyleveque', 'bewellbykelly.com', 'shopminnow.com', 'drinklmnt.com', 'drinkag1.com/bewell', 'oneskin.co', 'fatty15.com/KELLY15', 'fatty15.com', 'drinkAG1.com/bewell', 'kosterina.com', 'wenatal.com/pages/kelly', 'hiyahealth.com', 'jesseandbens.com/bewell', 'wenatal.com', 'vuori.com/kelly', 'https://wenatal.com/pages/kelly?sscid=21k9_px3cc&', 'elementasilver.com', 'nowfoods.com/healthy-living/now-wellness-experts/kelly-leveque', 'https://www.nowfoods.com/healthy-living/now-wellness-experts/kelly-leveque', 'seed.com/partner/bewell', 'https://forceofnature.com/', 'https://thor.ne/xnHXQ', 'candthemoon.com', 'thor.ne', 'drinkAG1.com']",bewellby
5,3,60.0,4,129.0,32.25,0.7745822504771465,0.8,"{'bombas.com': 22.0, 'ceoac.com': 8.0, 'your.omnisend.com': 49.0, 'contrarianthinking.biz': 50.0}","{'bombas.com': 1, 'ceoac.com': 1, 'your.omnisend.com': 1, 'contrarianthinking.biz': 1}",1.0,"['bombas.com', 'ceoac.com', 'your.omnisend.com', 'contrarianthinking.biz']","['contrarianthinking.biz', 'your.omnisend.com', 'bombas.com', 'ceoac.com']",bigdeal
5,4,80.0,16,598.0,37.375,6.68433845844536,3.2,"{'wolveswhiskeyca.com': 42.0, 'greatjonesdistillingco.com': 22.0, 'buffalotracedistillery.com': 56.0, 'jimbeam.com': 27.0, 'wyomingwhiskey.com': 40.0, 'barrellbourbon.com': 31.0, 'sazerac.com': 27.0, 'newriffdistilling.com': 4.0, 'makersmark.com': 56.0, 'worldwhiskeysociety.com': 66.0, 'threechordbourbon.com': 33.0, 'bookersbourbon.com': 26.0, 'starlightdistillery.com': 32.0, 'bardstownbourbon.com': 126.0, 'pursuitspirits.com': 4.0, 'kroger.com': 6.0}","{'wolveswhiskeyca.com': 1, 'greatjonesdistillingco.com': 1, 'buffalotracedistillery.com': 1, 'jimbeam.com': 1, 'wyomingwhiskey.com': 1, 'barrellbourbon.com': 1, 'sazerac.com': 1, 'newriffdistilling.com': 1, 'makersmark.com': 1, 'worldwhiskeysociety.com': 1, 'threechordbourbon.com': 1, 'bookersbourbon.com': 1, 'starlightdistillery.com': 1, 'bardstownbourbon.com': 1, 'pursuitspirits.com': 1, 'kroger.com': 1}",1.0,"['wolveswhiskeyca.com', 'greatjonesdistillingco.com', 'buffalotracedistillery.com', 'jimbeam.com', 'wyomingwhiskey.com', 'barrellbourbon.com', 'sazerac.com', 'newriffdistilling.com', 'makersmark.com', 'worldwhiskeysociety.com', 'threechordbourbon.com', 'bookersbourbon.com', 'starlightdistillery.com', 'bardstownbourbon.com', 'pursuitspirits.com', 'kroger.com']","['bardstownbourbon.com', 'worldwhiskeysociety.com', 'buffalotracedistillery.com', 'makersmark.com', 'wolveswhiskeyca.com', 'wyomingwhiskey.com', 'threechordbourbon.com', 'starlightdistillery.com', 'barrellbourbon.com', 'jimbeam.com', 'sazerac.com', 'bookersbourbon.com', 'greatjonesdistillingco.com', 'kroger.com', 'newriffdistilling.com', 'pursuitspirits.com']",bourbonpursuit
5,1,20.0,1,87.0,87.0,0.9791783905458639,0.2,{'ziprecruiter.com': 87.0},{'ziprecruiter.com': 1},1.0,['ziprecruiter.com'],['ziprecruiter.com'],businesswars
