clientId,min_impressions,max_impressions,youtube_subscribers,instagram_followers,episode_avg_views,estimated_ad_price
jimmysjobsofthefuture,165,275,0,2272,0.0,"{'30s': '14,20', '60s': '18,25'}"
joelosteen,341940,569900,0,5998897,0.0,"{'30s': '19,25', '60s': '25,32'}"
jordanharbingershow,175425,292375,281000,986144,888.0,"{'30s': '20,26', '60s': '26,33'}"
juliandoreypodcast,9450,15750,0,16208,0.0,"{'30s': '15,20', '60s': '20,26'}"
keke,14610,24350,365000,14622518,621580.2,"{'30s': '15,20', '60s': '20,26'}"
lasculturistas,126240,210400,21,205222,77.8,"{'30s': '20,26', '60s': '26,33'}"
lesinvestisseurs40,105,175,0,8506,0.0,"{'30s': '14,20', '60s': '18,25'}"
lex,0,0,4770000,0,640392.4,"{'30s': '11,16', '60s': '15,21'}"
lexfridmanpodcast,177825,296375,4770000,0,640434.0,"{'30s': '20,26', '60s': '26,33'}"
lifewithedwardandavalon,0,0,90,0,23.75,"{'30s': '10,15', '60s': '14,20'}"
listeningtoamerica,16410,27350,2770,0,181.6,"{'30s': '16,21', '60s': '21,27'}"
loveislandthemorningafter,4860,8100,9640,0,12155.0,"{'30s': '11,16', '60s': '15,21'}"
macrovoices,44385,73975,53400,0,2815.0,"{'30s': '20,26', '60s': '26,32'}"
mamasconganas,540,900,0,3463,0.0,"{'30s': '10,15', '60s': '14,20'}"
marchofhistory,930,1550,0,6982,0.0,"{'30s': '11,16', '60s': '15,21'}"
markgroves,70245,117075,60500,1086154,356.6,"{'30s': '15,20', '60s': '20,26'}"
mastersofscale,59025,98375,133000,63104,453.4,"{'30s': '20,26', '60s': '26,32'}"
medicalmedium,73650,122750,351000,5024560,4435.6,"{'30s': '18,24', '60s': '24,30'}"
melissaambrosinishow,13920,23200,22900,195025,3862.0,"{'30s': '18,24', '60s': '24,30'}"
mickunplugged,56115,93525,62900,0,3117.0,"{'30s': '15,20', '60s': '20,26'}"
mikedrop,94200,157000,347000,0,39174.8,"{'30s': '20,26', '60s': '26,33'}"
mikewardsousecoute,285,475,0,100862,0.0,"{'30s': '9,14', '60s': '12,18'}"
mission-daily,3285,5475,7050,0,544.2,"{'30s': '14,20', '60s': '18,25'}"
mobituaries,336390,560650,3560,0,0.0,"{'30s': '21,27', '60s': '27,34'}"
mondaymatchanalysis,2310,3850,38500,0,20120.8,"{'30s': '11,16', '60s': '15,21'}"
morbid,1418190,2363650,86000,0,6403.4,"{'30s': '21,27', '60s': '27,34'}"
motleyfoolmoney,43740,72900,0,308686,0.0,"{'30s': '20,26', '60s': '26,32'}"
musicmatters,1515,2525,1240,4475,846.0,"{'30s': '11,16', '60s': '15,21'}"
myfirstmillion,37680,62800,760000,0,49004.4,"{'30s': '20,26', '60s': '26,32'}"
mysteryandmurderanalysis,149805,249675,457000,37000,560.2,"{'30s': '21,27', '60s': '27,34'}"
nbadaily,30780,51300,16300,314065,3221.6,"{'30s': '15,20', '60s': '20,26'}"
